serialNumber,systemIdentifier,acquirerIPAddress,acquiredPort,TLS
831612317,P00003479,192.168.010.1323,2201,1
831612318,P00003480,192.168.010.1324,2201,1
831612319,P00003481,192.168.010.1325,2201,1
831612320,P00003482,192.168.010.1326,2201,1
831612321,P00003483,192.168.010.1327,2201,1
831612322,P00003484,192.168.010.1328,2201,1
831612323,P00003485,192.168.010.1329,2201,1
831612324,P00003486,192.168.010.1330,2201,1
831612325,P00003487,192.168.010.1331,2201,1
831612326,P00003488,192.168.010.1332,2201,1
831612327,P00003489,192.168.010.1333,2201,1
831612328,P00003490,192.168.010.1334,2201,1
831612329,P00003491,192.168.010.1335,2201,1
831612330,P00003492,192.168.010.1336,2201,1
831612331,P00003493,192.168.010.1337,2201,1
831612332,P00003494,192.168.010.1338,2201,1
831612333,P00003495,192.168.010.1339,2201,1
831612334,P00003496,192.168.010.1340,2201,1
831612335,P00003497,192.168.010.1341,2201,1
831612336,P00003498,192.168.010.1342,2201,1
831612337,P00003499,192.168.010.1343,2201,1
831612338,P00003500,192.168.010.1344,2201,1
831612339,P00003501,192.168.010.1345,2201,1
831612340,P00003502,192.168.010.1346,2201,1
831612341,P00003503,192.168.010.1347,2201,1
831612342,P00003504,192.168.010.1348,2201,1
831612343,P00003505,192.168.010.1349,2201,1
831612344,P00003506,192.168.010.1350,2201,1
831612345,P00003507,192.168.010.1351,2201,1
831612346,P00003508,192.168.010.1352,2201,1
831612347,P00003509,192.168.010.1353,2201,1
831612348,P00003510,192.168.010.1354,2201,1
831612349,P00003511,192.168.010.1355,2201,1
831612350,P00003512,192.168.010.1356,2201,1
831612351,P00003513,192.168.010.1357,2201,1
831612352,P00003514,192.168.010.1358,2201,1
831612353,P00003515,192.168.010.1359,2201,1
831612354,P00003516,192.168.010.1360,2201,1
831612355,P00003517,192.168.010.1361,2201,1
831612356,P00003518,192.168.010.1362,2201,1
831612357,P00003519,192.168.010.1363,2201,1
831612358,P00003520,192.168.010.1364,2201,1
831612359,P00003521,192.168.010.1365,2201,1
831612360,P00003522,192.168.010.1366,2201,1
831612361,P00003523,192.168.010.1367,2201,1
831612362,P00003524,192.168.010.1368,2201,1
831612363,P00003525,192.168.010.1369,2201,1
831612364,P00003526,192.168.010.1370,2201,1
831612365,P00003527,192.168.010.1371,2201,1
831612366,P00003528,192.168.010.1372,2201,1
831612367,P00003529,192.168.010.1373,2201,1
831612368,P00003530,192.168.010.1374,2201,1
831612369,P00003531,192.168.010.1375,2201,1
831612370,P00003532,192.168.010.1376,2201,1
831612371,P00003533,192.168.010.1377,2201,1
831612372,P00003534,192.168.010.1378,2201,1
831612373,P00003535,192.168.010.1379,2201,1
831612374,P00003536,192.168.010.1380,2201,1
831612375,P00003537,192.168.010.1381,2201,1
831612376,P00003538,192.168.010.1382,2201,1
831612377,P00003539,192.168.010.1383,2201,1
831612378,P00003540,192.168.010.1384,2201,1
831612379,P00003541,192.168.010.1385,2201,1
831612380,P00003542,192.168.010.1386,2201,1
831612381,P00003543,192.168.010.1387,2201,1
831612382,P00003544,192.168.010.1388,2201,1
831612383,P00003545,192.168.010.1389,2201,1
831612384,P00003546,192.168.010.1390,2201,1
831612385,P00003547,192.168.010.1391,2201,1
831612386,P00003548,192.168.010.1392,2201,1
831612387,P00003549,192.168.010.1393,2201,1
831612388,P00003550,192.168.010.1394,2201,1
831612389,P00003551,192.168.010.1395,2201,1
831612390,P00003552,192.168.010.1396,2201,1
831612391,P00003553,192.168.010.1397,2201,1
831612392,P00003554,192.168.010.1398,2201,1
831612393,P00003555,192.168.010.1399,2201,1
831612394,P00003556,192.168.010.1400,2201,1
831612395,P00003557,192.168.010.1401,2201,1
831612396,P00003558,192.168.010.1402,2201,1
831612397,P00003559,192.168.010.1403,2201,1
831612398,P00003560,192.168.010.1404,2201,1
831612399,P00003561,192.168.010.1405,2201,1
831612400,P00003562,192.168.010.1406,2201,1
831612401,P00003563,192.168.010.1407,2201,1
831612402,P00003564,192.168.010.1408,2201,1
831612403,P00003565,192.168.010.1409,2201,1
831612404,P00003566,192.168.010.1410,2201,1
831612405,P00003567,192.168.010.1411,2201,1
831612406,P00003568,192.168.010.1412,2201,1
831612407,P00003569,192.168.010.1413,2201,1
831612408,P00003570,192.168.010.1414,2201,1
831612409,P00003571,192.168.010.1415,2201,1
831612410,P00003572,192.168.010.1416,2201,1
831612411,P00003573,192.168.010.1417,2201,1
831612412,P00003574,192.168.010.1418,2201,1
831612413,P00003575,192.168.010.1419,2201,1
831612414,P00003576,192.168.010.1420,2201,1
831612415,P00003577,192.168.010.1421,2201,1
831612416,P00003578,192.168.010.1422,2201,1
831612417,P00003579,192.168.010.1423,2201,1
831612418,P00003580,192.168.010.1424,2201,1
831612419,P00003581,192.168.010.1425,2201,1
831612420,P00003582,192.168.010.1426,2201,1
831612421,P00003583,192.168.010.1427,2201,1
831612422,P00003584,192.168.010.1428,2201,1
831612423,P00003585,192.168.010.1429,2201,1
831612424,P00003586,192.168.010.1430,2201,1
831612425,P00003587,192.168.010.1431,2201,1
831612426,P00003588,192.168.010.1432,2201,1
831612427,P00003589,192.168.010.1433,2201,1
831612428,P00003590,192.168.010.1434,2201,1
831612429,P00003591,192.168.010.1435,2201,1
831612430,P00003592,192.168.010.1436,2201,1
831612431,P00003593,192.168.010.1437,2201,1
831612432,P00003594,192.168.010.1438,2201,1
831612433,P00003595,192.168.010.1439,2201,1
831612434,P00003596,192.168.010.1440,2201,1
831612435,P00003597,192.168.010.1441,2201,1
831612436,P00003598,192.168.010.1442,2201,1
831612437,P00003599,192.168.010.1443,2201,1
831612438,P00003600,192.168.010.1444,2201,1
831612439,P00003601,192.168.010.1445,2201,1
831612440,P00003602,192.168.010.1446,2201,1
831612441,P00003603,192.168.010.1447,2201,1
831612442,P00003604,192.168.010.1448,2201,1
831612443,P00003605,192.168.010.1449,2201,1
831612444,P00003606,192.168.010.1450,2201,1
831612445,P00003607,192.168.010.1451,2201,1
831612446,P00003608,192.168.010.1452,2201,1
831612447,P00003609,192.168.010.1453,2201,1
831612448,P00003610,192.168.010.1454,2201,1
831612449,P00003611,192.168.010.1455,2201,1
831612450,P00003612,192.168.010.1456,2201,1
831612451,P00003613,192.168.010.1457,2201,1
831612452,P00003614,192.168.010.1458,2201,1
831612453,P00003615,192.168.010.1459,2201,1
831612454,P00003616,192.168.010.1460,2201,1
831612455,P00003617,192.168.010.1461,2201,1
831612456,P00003618,192.168.010.1462,2201,1
831612457,P00003619,192.168.010.1463,2201,1
831612458,P00003620,192.168.010.1464,2201,1
831612459,P00003621,192.168.010.1465,2201,1
831612460,P00003622,192.168.010.1466,2201,1
831612461,P00003623,192.168.010.1467,2201,1
831612462,P00003624,192.168.010.1468,2201,1
831612463,P00003625,192.168.010.1469,2201,1
831612464,P00003626,192.168.010.1470,2201,1
831612465,P00003627,192.168.010.1471,2201,1
831612466,P00003628,192.168.010.1472,2201,1
831612467,P00003629,192.168.010.1473,2201,1
831612468,P00003630,192.168.010.1474,2201,1
831612469,P00003631,192.168.010.1475,2201,1
831612470,P00003632,192.168.010.1476,2201,1
831612471,P00003633,192.168.010.1477,2201,1
831612472,P00003634,192.168.010.1478,2201,1
831612473,P00003635,192.168.010.1479,2201,1
831612474,P00003636,192.168.010.1480,2201,1
831612475,P00003637,192.168.010.1481,2201,1
831612476,P00003638,192.168.010.1482,2201,1
831612477,P00003639,192.168.010.1483,2201,1
831612478,P00003640,192.168.010.1484,2201,1
831612479,P00003641,192.168.010.1485,2201,1
831612480,P00003642,192.168.010.1486,2201,1
831612481,P00003643,192.168.010.1487,2201,1
831612482,P00003644,192.168.010.1488,2201,1
831612483,P00003645,192.168.010.1489,2201,1
831612484,P00003646,192.168.010.1490,2201,1
831612485,P00003647,192.168.010.1491,2201,1
831612486,P00003648,192.168.010.1492,2201,1
831612487,P00003649,192.168.010.1493,2201,1
831612488,P00003650,192.168.010.1494,2201,1
831612489,P00003651,192.168.010.1495,2201,1
831612490,P00003652,192.168.010.1496,2201,1
831612491,P00003653,192.168.010.1497,2201,1
831612492,P00003654,192.168.010.1498,2201,1
831612493,P00003655,192.168.010.1499,2201,1
831612494,P00003656,192.168.010.1500,2201,1
831612495,P00003657,192.168.010.1501,2201,1
831612496,P00003658,192.168.010.1502,2201,1
831612497,P00003659,192.168.010.1503,2201,1
831612498,P00003660,192.168.010.1504,2201,1
831612499,P00003661,192.168.010.1505,2201,1
831612500,P00003662,192.168.010.1506,2201,1
831612501,P00003663,192.168.010.1507,2201,1
831612502,P00003664,192.168.010.1508,2201,1
831612503,P00003665,192.168.010.1509,2201,1
831612504,P00003666,192.168.010.1510,2201,1
831612505,P00003667,192.168.010.1511,2201,1
831612506,P00003668,192.168.010.1512,2201,1
831612507,P00003669,192.168.010.1513,2201,1
831612508,P00003670,192.168.010.1514,2201,1
831612509,P00003671,192.168.010.1515,2201,1
831612510,P00003672,192.168.010.1516,2201,1
831612511,P00003673,192.168.010.1517,2201,1
831612512,P00003674,192.168.010.1518,2201,1
831612513,P00003675,192.168.010.1519,2201,1
831612514,P00003676,192.168.010.1520,2201,1
831612515,P00003677,192.168.010.1521,2201,1
831612516,P00003678,192.168.010.1522,2201,1
831612517,P00003679,192.168.010.1523,2201,1
831612518,P00003680,192.168.010.1524,2201,1
831612519,P00003681,192.168.010.1525,2201,1
831612520,P00003682,192.168.010.1526,2201,1
831612521,P00003683,192.168.010.1527,2201,1
831612522,P00003684,192.168.010.1528,2201,1
831612523,P00003685,192.168.010.1529,2201,1
831612524,P00003686,192.168.010.1530,2201,1
831612525,P00003687,192.168.010.1531,2201,1
831612526,P00003688,192.168.010.1532,2201,1
831612527,P00003689,192.168.010.1533,2201,1
831612528,P00003690,192.168.010.1534,2201,1
831612529,P00003691,192.168.010.1535,2201,1
831612530,P00003692,192.168.010.1536,2201,1
831612531,P00003693,192.168.010.1537,2201,1
831612532,P00003694,192.168.010.1538,2201,1
831612533,P00003695,192.168.010.1539,2201,1
831612534,P00003696,192.168.010.1540,2201,1
831612535,P00003697,192.168.010.1541,2201,1
831612536,P00003698,192.168.010.1542,2201,1
831612537,P00003699,192.168.010.1543,2201,1
831612538,P00003700,192.168.010.1544,2201,1
831612539,P00003701,192.168.010.1545,2201,1
831612540,P00003702,192.168.010.1546,2201,1
831612541,P00003703,192.168.010.1547,2201,1
831612542,P00003704,192.168.010.1548,2201,1
831612543,P00003705,192.168.010.1549,2201,1
831612544,P00003706,192.168.010.1550,2201,1
831612545,P00003707,192.168.010.1551,2201,1
831612546,P00003708,192.168.010.1552,2201,1
831612547,P00003709,192.168.010.1553,2201,1
831612548,P00003710,192.168.010.1554,2201,1
831612549,P00003711,192.168.010.1555,2201,1
831612550,P00003712,192.168.010.1556,2201,1
831612551,P00003713,192.168.010.1557,2201,1
831612552,P00003714,192.168.010.1558,2201,1
831612553,P00003715,192.168.010.1559,2201,1
831612554,P00003716,192.168.010.1560,2201,1
831612555,P00003717,192.168.010.1561,2201,1
831612556,P00003718,192.168.010.1562,2201,1
831612557,P00003719,192.168.010.1563,2201,1
831612558,P00003720,192.168.010.1564,2201,1
831612559,P00003721,192.168.010.1565,2201,1
831612560,P00003722,192.168.010.1566,2201,1
831612561,P00003723,192.168.010.1567,2201,1
831612562,P00003724,192.168.010.1568,2201,1
